ab,bb,hr,pos,rank,avg,id,name,k,r,games,rbi,team,sb,slg,obp
233,,10.0,3B,763,.279,6114,Eric Chavez,,29.0,,39.0,Ari,0.0,,
488,,11.0,2B,772,.270,8422,Gordon Beckham,,64.0,,47.0,CWS,6.0,,
0.0,,0.0,OF,783,.000,6550,Juan Pierre,,0.0,,0.0,Mia,0.0,,
0.0,,0.0,1B,784,.000,6639,Lyle Overbay,,0.0,,0.0,Mil,0.0,,
488,,11.0,SS,786,.258,8945,Brandon Crawford,,56.0,,55.0,SF,3.0,,
370,,15.0,OF,795,.238,7738,Chris Young,,55.0,,50.0,NYM,12.0,,
0.0,,0.0,C,797,.000,7056,John Buck,,0.0,,0.0,Sea,0.0,,
341,,17.0,C,800,.223,8655,J.P. Arencibia,,39.0,,50.0,Tex,0.0,,
211,,8.0,"1B,OF",806,.270,8512,Mike Carp,,27.0,,36.0,Bos,1.0,,
304,,15.0,"1B,3B",818,.230,8598,Juan Francisco,,30.0,,45.0,Mil,1.0,,
343,,14.0,"1B,OF",819,.239,8796,Lucas Duda,,42.0,,44.0,NYM,1.0,,
0.0,,0.0,OF,821,.000,8124,Justin Maxwell,,0.0,,0.0,KC,0.0,,
270,,5.0,OF,822,.256,8188,Jordan Schafer,,41.0,,22.0,Atl,26.0,,
310,,13.0,C,824,.287,7276,Dioner Navarro,,36.0,,44.0,Tor,0.0,,
401,,13.0,C,828,.247,8550,Alex Avila,,49.0,,59.0,Det,1.0,,
402,,15.0,2B,832,.234,7213,Rickie Weeks,,58.0,,39.0,Mil,10.0,,
412,,12.0,C,838,.272,8784,Welington Castillo,,48.0,,44.0,ChC,1.0,,
321,,6.0,OF,839,.265,8647,Jose Tabata,,41.0,,25.0,Pit,7.0,,
394,,7.0,SS,841,.236,9069,Pedro Florimon,,44.0,,41.0,Min,13.0,,
431,,6.0,"1B,2B,3B",842,.262,7414,Jeff Keppinger,,41.0,,39.0,CWS,0.0,,
358,,8.0,OF,846,.304,8957,Charlie Blackmon,,61.0,,43.0,Col,11.0,,
375,,9.0,OF,848,.251,9263,Brandon Barnes,,49.0,,43.0,Col,11.0,,
274,,3.0,"2B,3B,SS",855,.237,8831,Daniel Descalso,,33.0,,28.0,StL,4.0,,
294,,13.0,C,859,.255,8876,Derek Norris,,50.0,,46.0,Oak,6.0,,
378,,18.0,"1B,OF",861,.262,7562,Michael Morse,,47.0,,50.0,SF,0.0,,
230,,2.0,"2B,SS",864,.248,8828,Eric Sogard,,26.0,,21.0,Oak,6.0,,
504,,3.0,"3B,SS",865,.266,8848,Jose Iglesias,,56.0,,40.0,Det,11.0,,
0.0,,0.0,Util,867,.000,7521,Luke Scott,,0.0,,0.0,TB,0.0,,
344,,10.0,"1B,3B",870,.250,8378,Conor Gillaspie,,39.0,,34.0,CWS,0.0,,
466,,16.0,OF,873,.264,9342,Oswaldo Arcia,,51.0,,65.0,Min,3.0,,
0.0,,0.0,OF,874,.000,8663,David Lough,,0.0,,0.0,Bal,0.0,,
233,,3.0,"3B,SS",875,.266,8789,Eduardo Nunez,,30.0,,23.0,NYY,12.0,,
263,,10.0,"1B,3B",878,.240,8416,Brett Wallace,,32.0,,31.0,Hou,0.0,,
352,,13.0,C,880,.230,7845,Chris Iannetta,,45.0,,45.0,LAA,2.0,,
269,,16.0,"1B,OF",883,.275,9279,Darin Ruf,,42.0,,43.0,Phi,0.0,,
281,,8.0,"1B,OF",886,.246,8484,Jesus Guzman,,31.0,,43.0,Hou,4.0,,
521,,6.0,2B,889,.236,8787,Darwin Barney,,60.0,,42.0,ChC,6.0,,
516,,14.0,2B,891,.246,9115,Nick Franklin,,67.0,,59.0,Sea,14.0,,
426,,11.0,"2B,SS",893,.275,9198,Jordy Mercer,,51.0,,46.0,Pit,5.0,,
243,,6.0,C,894,.263,8368,John Jaso,,34.0,,32.0,Oak,1.0,,
359,,15.0,OF,896,.242,7425,Jason Kubel,,42.0,,56.0,Min,0.0,,
299,,11.0,OF,897,.254,8617,Chris Heisey,,40.0,,33.0,Cin,5.0,,
226,,13.0,OF,901,.235,7046,Scott Hairston,,30.0,,36.0,Was,4.0,,
301,,9.0,C,903,.226,8294,Nick Hundley,,28.0,,34.0,SD,1.0,,
327,,9.0,1B,905,.248,8385,Gaby Sanchez,,36.0,,41.0,Pit,0.0,,
363,,5.0,2B,906,.270,9420,Scooter Gennett,,41.0,,24.0,Mil,6.0,,
348,,3.0,2B,909,.270,9190,Donovan Solano,,34.0,,34.0,Mia,5.0,,
419,,10.0,2B,910,.260,6741,Brian Roberts,,57.0,,52.0,NYY,11.0,,
0.0,,0.0,"1B,3B",911,.000,7511,Yuniesky Betancourt,,0.0,,0.0,Mil,0.0,,
258,,10.0,Util,912,.213,6980,Travis Hafner,,27.0,,35.0,NYY,0.0,,
387,,13.0,1B,913,.240,8633,Logan Morrison,,42.0,,51.0,Sea,1.0,,
0.0,,0.0,1B,914,.000,6621,Carlos Pena,,0.0,,0.0,LAA,0.0,,
430,,8.0,SS,915,.258,9282,Didi Gregorius,,57.0,,39.0,Ari,2.0,,
231,,6.0,C,916,.247,8521,Jose Lobaton,,29.0,,28.0,Was,0.0,,
0.0,,0.0,"2B,SS,OF",917,.000,8914,Alexi Amarista,,0.0,,0.0,SD,0.0,,
0.0,,0.0,"1B,3B,OF",918,.000,7041,Jeff Baker,,0.0,,0.0,Mia,0.0,,
307,,11.0,3B,919,.257,8852,Lonnie Chisenhall,,39.0,,42.0,Cle,2.0,,
287,,2.0,"2B,OF",920,.272,7567,Skip Schumaker,,30.0,,28.0,Cin,1.0,,
