ab,bb,hr,pos,rank,avg,id,name,k,r,games,rbi,team,sb,slg,obp
368,39,8,"OF, DH",274,.253,1835,Seth Smith,94,49,,40,SD,0,.391,.329
473,42,10,OF,275,.279,1298,Chris Denorfia,84,67,,47,SD,11,.395,.337
204,5,4,C,276,.206,2992,Josh Phegley,41,14,,22,CWS,2,.299,.223
251,33,14,"1B, OF",277,.247,3958,Darin Ruf,91,36,,30,Phi,0,.458,.348
246,7,6,OF,278,.309,3546,Charlie Blackmon,49,35,,22,Col,7,.467,.336
9,0,0,2B,279,.111,2311,Jemile Weeks,5,3,,0,Bal,0,.111,.111
280,21,8,"OF, 1B",280,.243,2418,Kyle Blanks,85,31,,35,SD,1,.379,.305
220,19,6,2B,281,.214,2967,Logan Forsythe,54,22,,19,TB,6,.332,.281
129,7,3,C,282,.248,2955,Hector Sanchez,29,8,,19,SF,0,.349,.300
325,68,11,C,283,.225,1447,Chris Iannetta,100,40,,39,LAA,0,.372,.358
69,1,2,3B,284,.261,4622,Marcus Semien,22,7,,7,CWS,2,.406,.268
213,21,2,OF,285,.258,2822,Jarrod Dyson,45,30,,17,KC,34,.366,.326
119,2,2,2B,286,.252,3033,Ryan Goins,28,11,,8,Tor,0,.345,.264
233,17,7,C,287,.249,2127,Hank Conger,61,23,,21,LAA,0,.403,.310
403,33,9,SS,288,.221,2730,Pedro Florimon,115,44,,44,Min,15,.330,.281
--,--,--,3B,289,--,4639,Maikel Franco,--,--,,--,Phi,--,--,--
438,42,9,OF,290,.256,3465,Andy Dirks,84,60,,37,Det,7,.363,.323
423,20,4,"2B, 1B, 3B",291,.253,1071,Jeff Keppinger,41,38,,40,CWS,0,.317,.283
331,53,12,3B,292,.218,2061,Luis Valbuena,63,34,,37,ChC,1,.378,.331
--,--,--,OF,293,--,956,Grady Sizemore,--,--,,--,Bos,--,--,--
--,--,--,2B,294,--,4695,Tommy La Stella,--,--,,--,Atl,--,--,--
474,18,21,C,295,.194,2501,J.P. Arencibia,148,45,,55,Tex,0,.365,.227
288,27,9,"1B, OF",296,.226,2376,Jesus Guzman,79,33,,35,Hou,3,.378,.297
257,23,4,OF,297,.268,3869,Robbie Grossman,70,29,,21,Hou,6,.370,.332
18,1,0,OF,298,.278,4432,Michael Choice,6,2,,0,Tex,0,.333,.316
259,29,5,OF,299,.216,1088,Jason Kubel,92,21,,32,Min,0,.317,.293
243,29,16,OF,300,.272,1745,Ryan Raburn,67,40,,55,Cle,0,.543,.357
158,4,3,2B,301,.158,3018,Danny Espinosa,47,11,,12,Wsh,1,.272,.193
192,17,6,OF,302,.266,1459,Ryan Sweeney,31,19,,19,ChC,1,.448,.324
351,26,4,"3B, 1B, 2B",303,.256,3255,Ed Lucas,78,43,,28,Mia,1,.336,.311
285,22,5,C,304,.232,1728,Kurt Suzuki,35,25,,32,Min,2,.337,.290
315,10,5,OF,305,.286,2916,David Lough,52,35,,33,Bal,5,.413,.311
185,9,3,OF,306,.276,3399,Alex Presley,39,17,,15,Min,1,.373,.313
170,12,1,"DH, OF",307,.282,4565,L.J. Hoes,35,24,,10,Hou,7,.365,.332
262,18,13,1B,308,.221,2468,Brett Wallace,104,35,,36,Hou,1,.431,.284
